,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,customerID
0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,29.85,29.85,No,7590-VHVEG
1,1.0,0,0.0,0.0,34.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,56.95,1889.5,No,5575-GNVDE
2,1.0,0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,53.85,108.15,Yes,3668-QPYBK
3,1.0,0,0.0,0.0,45.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,42.3,1840.75,No,7795-CFOCW
4,0.0,0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,70.7,151.65,Yes,9237-HQITU
5,0.0,0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,99.65,820.5,Yes,9305-CDSKC
6,1.0,0,0.0,1.0,22.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,89.1,1949.4,No,1452-KIOVK
7,0.0,0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.75,301.9,No,6713-OKOMC
8,0.0,0,1.0,0.0,28.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,104.8,3046.05,Yes,7892-POOKP
9,1.0,0,0.0,1.0,62.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56.15,3487.95,No,6388-TABGU
10,1.0,0,1.0,1.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,49.95,587.45,No,9763-GRSKD
11,1.0,0,0.0,0.0,16.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,18.95,326.8,No,7469-LKBCI
12,1.0,0,1.0,0.0,58.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,100.35,5681.1,No,8091-TTVAX
13,1.0,0,0.0,0.0,49.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,103.7,5036.3,Yes,0280-XJGEX
14,1.0,0,0.0,0.0,25.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,105.5,2686.05,No,5129-JLPIS
15,0.0,0,1.0,1.0,69.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,113.25,7895.15,No,3655-SNQYZ
16,0.0,0,0.0,0.0,52.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.65,1022.95,No,8191-XWSZG
17,1.0,0,0.0,1.0,71.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,106.7,7382.25,No,9959-WOFKT
18,0.0,0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,55.2,528.35,Yes,4190-MFLUW
19,0.0,0,0.0,0.0,21.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,90.05,1862.9,No,4183-MYFRB
20,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,39.65,39.65,Yes,8779-QRDMV
21,1.0,0,1.0,0.0,12.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19.8,202.25,No,1680-VDCWW
22,1.0,0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.15,20.15,Yes,1066-JKSGK
23,0.0,0,1.0,0.0,58.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,59.9,3505.1,No,3638-WEABW
24,1.0,0,1.0,1.0,49.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,59.6,2970.3,No,6322-HRPFA
25,0.0,0,0.0,0.0,30.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.3,1530.6,No,6865-JZNKO
26,1.0,0,1.0,1.0,47.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,99.35,4749.15,Yes,6467-CHFZW
27,1.0,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.2,30.2,Yes,8665-UTDHZ
28,1.0,0,1.0,0.0,72.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,90.25,6369.45,No,5248-YGIJN
29,0.0,0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,64.7,1093.1,Yes,8773-HHUOZ
30,0.0,1,1.0,0.0,71.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,96.35,6766.95,No,3841-NFECX
